"Phylum","Order","Family","Genus"
"Bacillota_I","Lactobacillales","Vagococcaceae","Vagococcus_B"
"Pseudomonadota","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria"
"Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_732334",NA
"Pseudomonadota","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas"
"Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_732334","Moellerella"
"Bacillota_I","Lactobacillales","Lactobacillaceae","Weissella"
"Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_732334","Proteus"
"Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_732334","Morganella"
"Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_725029","Escherichia"
"Bacteroidota","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"Pseudomonadota","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria"
"Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_732334","Proteus"
"Pseudomonadota","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria"
"Bacillota_I","Lactobacillales","Vagococcaceae","Vagococcus_B"
"Pseudomonadota","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria"
"Bacillota_I","Lactobacillales","Vagococcaceae","Vagococcus_B"
"Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_725029",NA
"Bacillota_I","Lactobacillales","Streptococcaceae","Streptococcus"
"Bacillota_I","Lactobacillales","Lactobacillaceae","Weissella"
"Bacillota_I","Lactobacillales","Enterococcaceae",NA
